1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
1	0,52180
2	0,52180
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
6	0,63310
7	0,34170
8	0,34170
9	0,34170
10	0,34170
11	0,34170
12	0,34170
13	0,34170
14	0,34170
15	0,35660
16	0,37910
17	0,38800
18	0,40190
19	0,40190
20	0,40190
21	0,40190
22	0,40190
23	0,40880
24	0,40880
25	0,40880
26	0,40880
27	0,42270
28	0,42270
29	0,42270
30	0,42270
1	0,52180
1	0,52180
2	0,52180
3	0,43760
4	0,43760
5	0,63310
7	0,34170
8	0,34170
9	0,34170
10	0,34170
11	0,34170
12	0,34170
13	0,34170
14	0,34170
15	0,35660
16	0,37910
17	0,38800
18	0,40190
19	0,40190
20	0,40190
21	0,40190
22	0,40190
23	0,40880
24	0,40880
25	0,40880
26	0,40880
27	0,42270
28	0,42270
29	0,42270
30	0,42270
1	0,43760
2	0,43760
3	0,52180
4	0,52180
5	0,63310
6	0,63310
7	0,34170
8	0,34170
9	0,34170
11	0,34170
12	0,34170
13	0,34170
14	0,34170
15	0,35660
16	0,37910
17	0,39100
18	0,40800
19	0,44450
20	0,47500
21	0,50060
22	0,51310
23	0,53230
24	0,52950
25	0,53410
26	0,53600
27	0,55220
29	0,56250
30	0,56250
30	0,56250
1	0,43760
2	0,43760
1	0,43760
2	0,43760
3	0,52180
4	0,52180
5	0,63310
6	0,63310
7	0,34170
8	0,34170
9	0,34170
10	0,34170
11	0,34170
12	0,34170
13	0,34170
14	0,34170
15	0,35660
16	0,37910
17	0,39100
18	0,40800
19	0,44450
20	0,47500
21	0,50060
22	0,51310
23	0,53230
24	0,52950
25	0,53410
26	0,53600
27	0,55220
28	0,56250
29	0,56250
30	0,56250
1	0,45865
2	0,45865
3	0,50075
4	0,50075
5	0,63310
6	0,63310
7	0,34170
8	0,34170
9	0,34170
10	0,34170
11	0,34170
13	0,34170
14	0,34170
15	0,35660
16	0,37910
17	0,39025
19	0,43385
20	0,45673
21	0,47593
22	0,48530
23	0,50142
24	0,49932
25	0,50278
26	0,50420
27	0,51982
29	0,52755
30	0,52755
1	0,45648
2	0,45648
3	0,53168
4	0,53168
5	0,62990
6	0,62990
7	0,38900
9	0,38900
10	0,38900
11	0,38900
12	0,38900
13	0,38900
14	0,38900
15	0,40140
16	0,42277
17	0,43415
18	0,44935
19	0,48325
20	0,50962
22	0,54205
23	0,55828
24	0,55662
25	0,56115
26	0,56265
27	0,57820
28	0,58665
29	0,58755
1	0,45648
2	0,45648
3	0,45648
4	0,45648
5	0,45648
6	0,45648
7	0,45648
9	0,45648
10	0,45648
11	0,45648
12	0,45648
13	0,45648
14	0,45648
16	0,45648
17	0,45648
18	0,45648
19	0,45648
20	0,45648
21	0,45648
22	0,45648
23	0,45648
24	0,45648
25	0,45648
26	0,45648
27	0,45648
28	0,45648
29	0,45648
30	0,45648
1	0,45648
1	0,31592
2	0,31592
3	0,32562
4	0,32562
5	0,32440
6	0,32440
8	0,33590
9	0,33590
10	0,33590
1	0,31592
2	0,31592
3	0,32562
4	0,32562
5	0,32440
6	0,32440
7	0,33590
8	0,33590
9	0,33590
10	0,33590
1	0,31592
2	0,31592
3	0,32562
4	0,32562
5	0,32440
6	0,32440
7	0,33590
9	0,33590
10	0,33590
12	0,33590
14	0,33590
15	0,33302
16	0,33015
17	0,33015
18	0,32698
19	0,32698
20	0,32865
21	0,32865
22	0,33030
23	0,32725
24	0,32422
25	0,32422
27	0,32422
28	0,32572
30	0,32572
30	0,32572
1	0,31592
2	0,31592
3	0,32562
5	0,32440
6	0,32440
7	0,33590
8	0,33590
9	0,33590
11	0,33590
12	0,33590
14	0,33590
15	0,33302
16	0,33015
17	0,33015
18	0,32698
19	0,32698
21	0,32865
23	0,32725
24	0,32422
26	0,32272
27	0,32422
28	0,32572
29	0,32572
31	0,32725
32	0,32725
33	0,32892
36	0,33045
37	0,32878
39	0,32878
41	0,33030
42	0,33030
43	0,33030
44	0,33330
47	0,33330
48	0,33180
49	0,33348
50	0,33348
1	0,45348
2	0,42535
4	0,41578
5	0,37588
6	0,37923
7	0,43278
9	0,43278
10	0,43558
11	0,43412
12	0,43350
13	0,43438
14	0,43512
15	0,42922
17	0,42518
18	0,42225
19	0,42025
20	0,41795
21	0,41470
23	0,41298
24	0,40830
25	0,40828
26	0,40635
27	0,40625
28	0,40452
31	0,39990
32	0,39982
33	0,39860
34	0,39852
35	0,39855
36	0,39862
37	0,39848
39	0,40092
41	0,40552
42	0,40718
43	0,40785
45	0,41062
46	0,41125
47	0,41125
48	0,41125
49	0,41125
50	0,41125
