1	1	0,33910
1	2	0,33515
2	1	0,33910
2	2	0,31802
3	1	0,33910
4	1	0,33910
4	2	0,31198
5	1	0,33910
5	2	0,32000
6	1	0,33910
6	2	0,33820
7	1	0,33910
8	2	0,33820
9	1	0,33910
9	2	0,33820
10	1	0,33910
11	1	0,33910
11	2	0,33820
12	1	0,33910
12	2	0,33820
13	1	0,33910
14	1	0,33910
14	2	0,33820
15	1	0,33910
15	2	0,33820
16	2	0,33820
17	2	0,33820
18	1	0,33910
19	1	0,33910
19	2	0,33820
20	1	0,33910
20	2	0,33820
21	1	0,33910
21	2	0,33820
22	2	0,33820
23	1	0,33910
23	2	0,33820
24	1	0,33910
25	1	0,33910
25	2	0,33820
26	1	0,33910
26	2	0,33820
28	2	0,33820
29	1	0,33910
29	2	0,33973
30	1	0,33910
30	2	0,33973
1	1	0,33910
1	2	0,33515
1	4	0,33518
1	5	0,33182
1	8	0,33818
1	9	0,33198
1	10	0,33030
2	1	0,33910
2	2	0,31802
2	3	0,31895
2	4	0,32712
2	5	0,32275
2	7	0,32425
2	8	0,32862
2	9	0,31468
2	10	0,31168
3	1	0,33910
3	2	0,31955
3	3	0,31925
3	4	0,31482
3	5	0,31665
3	7	0,31958
3	9	0,31468
4	2	0,31198
4	3	0,32440
4	4	0,31650
4	5	0,32120
4	7	0,31958
4	8	0,31335
4	9	0,30862
5	1	0,33910
5	2	0,32000
5	3	0,32590
5	4	0,31058
5	5	0,31512
5	7	0,31500
5	8	0,31668
5	10	0,30895
6	1	0,33910
6	3	0,32742
6	4	0,32622
6	5	0,31468
6	6	0,33075
6	8	0,31818
6	10	0,31212
7	1	0,33910
7	2	0,33820
7	3	0,33498
7	4	0,32922
7	5	0,32608
7	6	0,33228
7	7	0,33670
7	9	0,32605
8	1	0,33910
8	2	0,33820
8	3	0,33197
8	4	0,32622
8	6	0,33075
8	7	0,33212
8	8	0,32638
8	9	0,32317
8	10	0,32760
9	3	0,33348
9	4	0,32305
9	5	0,32925
9	6	0,33108
9	8	0,32938
9	9	0,32620
10	1	0,33910
10	3	0,33500
10	4	0,32772
10	6	0,33562
10	7	0,33530
10	8	0,32785
10	9	0,32152
10	10	0,32940
11	1	0,33910
11	2	0,33820
11	4	0,32970
11	6	0,33562
11	7	0,32727
11	8	0,32938
11	9	0,32165
12	1	0,33910
12	3	0,33348
12	4	0,32818
12	5	0,33227
12	6	0,33712
12	7	0,32910
12	9	0,32165
12	10	0,32455
